UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
0.0,M14860,M,0.30434782608695343,0.3580246913580325,0.22293364377182778,0.5357142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00010001000100010001,L47181,L,0.3152173913043441,0.3703703703703738,0.13969732246798605,0.5837912087912087,0.011857707509881422,0.0,0.0,0.0,0.0,0.0,0.0
0.00020002000200020005,L47182,L,0.30434782608695343,0.3456790123456841,0.19208381839348088,0.6263736263736263,0.01976284584980237,0.0,0.0,0.0,0.0,0.0,0.0
0.00030003000300030005,L47183,L,0.3152173913043441,0.3580246913580325,0.15424912689173464,0.49038461538461536,0.02766798418972332,0.0,0.0,0.0,0.0,0.0,0.0
0.00040004000400040005,L47184,L,0.3152173913043441,0.3703703703703738,0.13969732246798605,0.4972527472527473,0.035573122529644265,0.0,0.0,0.0,0.0,0.0,0.0
0.0005000500050005,M14865,M,0.30434782608695343,0.3580246913580325,0.1495925494761351,0.5233516483516483,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0
0.0006000600060006,L47186,L,0.30434782608695343,0.3580246913580325,0.2270081490104774,0.5302197802197801,0.05533596837944664,0.0,0.0,0.0,0.0,0.0,0.0
0.0007000700070007,L47187,L,0.30434782608695343,0.3580246913580325,0.20896391152502913,0.5,0.06324110671936758,0.0,0.0,0.0,0.0,0.0,0.0
0.0008000800080008001,M14868,M,0.3260869565217348,0.3703703703703738,0.29045401629802103,0.34065934065934067,0.07114624505928853,0.0,0.0,0.0,0.0,0.0,0.0
0.0009000900090009,M14869,M,0.3478260869565162,0.4074074074074119,0.33352735739231665,0.3324175824175824,0.08300395256916995,0.0,0.0,0.0,0.0,0.0,0.0
0.001000100010001,H29424,H,0.3369565217391255,0.3950617283950635,0.35739231664726423,0.2760989010989011,0.09486166007905138,0.0,0.0,0.0,0.0,0.0,0.0
0.0011001100110011003,H29425,H,0.35869565217391397,0.4197530864197603,0.1484284051222352,0.5563186813186812,0.11462450592885375,0.0,0.0,0.0,0.0,0.0,0.0
0.0012001200120012002,M14872,M,0.35869565217391397,0.4197530864197603,0.09953434225844005,0.6497252747252747,0.13438735177865613,0.0,0.0,0.0,0.0,0.0,0.0
0.0013001300130013002,M14873,M,0.35869565217391397,0.4320987654321016,0.3341094295692667,0.3598901098901099,0.14624505928853754,0.0,0.0,0.0,0.0,0.0,0.0
0.0014001400140014003,L47194,L,0.35869565217391397,0.4320987654321016,0.5046565774155997,0.2170329670329671,0.15810276679841895,0.0,0.0,0.0,0.0,0.0,0.0
0.0015001500150015003,L47195,L,0.35869565217391397,0.4320987654321016,0.2176949941792783,0.6126373626373626,0.1660079051383399,0.0,0.0,0.0,0.0,0.0,0.0
0.0016001600160016002,M14876,M,0.35869565217391397,0.4320987654321016,0.08323632130384173,0.5879120879120879,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0
0.0017001700170017004,M14877,M,0.36956521739129755,0.4320987654321016,0.14086146682188594,0.5741758241758241,0.18577075098814227,0.0,0.0,0.0,0.0,0.0,0.0
0.0018001800180018003,H29432,H,0.38043478260869534,0.4320987654321016,0.08032596041909201,0.6964285714285714,0.1976284584980237,0.0,0.0,0.0,0.0,0.0,0.0
0.0019001900190019003,M14879,M,0.3913043478260789,0.44444444444444997,0.270081490104773,0.3942307692307692,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.0
0.002000200020002,H29434,H,0.3913043478260789,0.44444444444444997,0.12048894062863802,0.5343406593406593,0.2292490118577075,0.0,0.0,0.0,0.0,0.0,0.0
